	abund	morfo	fenol
Aellopos_titan	0.409	1.5	5
Agrius_cingulata	0.034	10	4
Erinnyis_ello	0.026	4	2
Eumorpha_fasciatus	0.081	 4.4	2
Eumorpha_labruscae	0.013	5.8	2
Eumorpha_triangulum	0.017	4.5	2
Eumorpha_vitis	0.123	4.2	4
Manduca_contracta	0.072	5.9	3
Manduca_diffisa	0.013	7	1
Manduca_florestan	0.077	5.4	3
Manduca_brasiliensis	0.013	6.6	3
Pachylia_ficus	0.004	5	1
Pachylia_syces	0.013	3.7	2
Perigonia_passerina	0.051	1.5	2
Protambulyx_strigilis	0.004	3.1	1
Xylophanes_anubus	0.013	3.8	2
Xylophanes_tersa	0.038	3.4	3
