	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
Aellopos_titan	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0
Agrius_cingulata	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Erinnyis_ello	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Eumorpha_fasciatus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Eumorpha_labruscae	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eumorpha_triangulum	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eumorpha_vitis	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Manduca_contracta	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Manduca_diffisa	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Manduca_florestan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
Manduca_brasiliensis	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pachylia_ficus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pachylia_syces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Perigonia_passerina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Protambulyx_strigilis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylophanes_anubus	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Xylophanes_tersa	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
