	Calliandra_brevipes	Cantinoa_mutabilis	Cereus_hildmannianus	Duranta_erecta	Hedychium_coronarium	Hibiscus_rosa-sinensis	Inga_vera	Inga_marginata	Ipomoea_alba	Lantana_camara	Luehea_divaricata	Nicotiana_alata	Oenothera_ravenii
Aellopos_titan	1	1	0	49	0	0	13	6	0	9	17	0	0
Agrius_cingulata	0	0	0	0	4	0	0	0	1	0	0	0	1
Erinnyis_ello	0	0	0	0	3	0	2	0	0	0	0	1	0
Eumorpha_fasciatus	0	0	0	0	3	0	9	0	0	0	0	0	7
Eumorpha_labruscae	0	0	0	0	2	0	0	0	0	0	0	0	1
Eumorpha_triangulum	0	0	0	0	3	0	0	0	0	0	0	0	1
Eumorpha_vitis	0	0	0	0	3	0	0	0	0	0	0	1	25
Manduca_contracta	0	0	0	0	1	0	0	0	0	0	0	4	12
Manduca_diffisa	0	0	0	0	0	0	0	0	0	0	0	1	2
Manduca_florestan	0	0	0	0	0	0	1	0	0	0	0	1	16
Manduca_brasiliensis	0	0	1	0	2	0	0	0	0	0	0	0	0
Pachylia_ficus	0	0	0	0	1	0	0	0	0	0	0	0	0
Pachylia_syces	0	0	0	0	0	1	2	0	0	0	0	0	0
Perigonia_passerina	0	0	0	6	0	0	5	0	0	1	0	0	0
Protambulyx_strigilis	0	0	0	0	1	0	0	0	0	0	0	0	0
Xylophanes_anubus	0	0	0	0	2	0	0	0	0	0	0	1	0
Xylophanes_tersa	1	0	0	1	0	0	3	0	0	0	0	0	4
